tempo,gender,label
106.1320755,male,child
144.2307692,male,child
122.2826087,male,child
119.6808511,male,child
102.2727273,male,child
140.625,male,child
122.2826087,male,child
140.625,male,child
140.625,male,child
125,male,child
170.4545455,male,child
137.195122,male,child
117.1875,male,child
102.2727273,male,child
152.027027,male,child
127.8409091,male,child
98.68421053,male,child
125,male,child
140.625,male,child
130.8139535,male,child
119.6808511,male,child
148.0263158,male,child
144.2307692,male,child
112.5,male,child
95.33898305,male,child
130.8139535,male,child
117.1875,male,child
125,male,child
106.1320755,male,child
127.8409091,male,child
130.8139535,male,child
95.33898305,male,child
125,male,child
133.9285714,male,child
137.195122,male,child
104.1666667,male,child
114.7959184,male,child
114.7959184,male,child
126.0480183,male,child
117.4538352,male,child
135.9991776,male,child
151.9990809,male,child
120.1853198,male,child
132.5120192,male,child
166.7086694,male,child
151.9990809,male,child
103.359375,male,child
117.4538352,male,child
161.4990234,male,child
123.046875,male,child
126.0480183,male,child
126.0480183,male,child
97.50884434,male,child
147.65625,male,child
135.9991776,male,child
135.9991776,male,child
107.6660156,male,child
112.3471467,male,child
112.3471467,male,child
129.1992188,male,child
120.1853198,male,child
123.046875,male,child
135.9991776,male,child
139.6748311,male,child
101.3327206,male,child
109.9567819,male,child
147.65625,male,child
120.1853198,male,child
143.5546875,male,child
114.84375,male,child
143.5546875,male,child
132.5120192,male,child
161.4990234,male,child
166.7086694,male,child
126.0480183,male,child
117.4538352,male,child
132.5120192,male,child
129.1992188,male,child
135.9991776,male,child
129.1992188,male,child
135.9991776,male,child
114.84375,male,child
109.9567819,male,child
166.7086694,male,child
126.0480183,male,child
114.84375,male,child
120.1853198,male,child
123.046875,male,child
114.84375,male,child
135.9991776,male,child
123.046875,male,child
126.0480183,male,child
126.0480183,male,child
114.84375,male,child
112.3471467,male,child
103.359375,male,child
143.5546875,male,child
107.6660156,male,child
117.4538352,male,child
139.6748311,male,child
126.0480183,male,child
112.3471467,male,child
123.046875,male,child
117.4538352,male,child
114.84375,male,child
129.1992188,male,child
126.0480183,male,child
120.1853198,male,child
120.1853198,male,child
126.0480183,male,child
143.5546875,male,child
147.65625,male,child
120.1853198,male,child
117.4538352,male,child
143.5546875,male,child
107.6660156,male,child
132.5120192,male,child
120.1853198,male,child
129.1992188,male,child
123.046875,male,child
161.4990234,male,child
126.0480183,male,child
112.3471467,male,child
126.0480183,male,child
143.5546875,male,child
126.0480183,male,child
143.5546875,male,child
132.5120192,male,child
143.5546875,male,child
139.6748311,male,child
126.0480183,male,child
132.5120192,male,child
99.38401442,male,child
126.0480183,male,child
117.4538352,male,child
105.46875,male,child
99.38401442,male,child
132.5120192,male,child
123.046875,male,child
120.1853198,male,child
120.1853198,male,child
126.0480183,male,child
120.1853198,male,child
139.6748311,male,child
123.046875,male,child
109.9567819,male,child
156.6051136,male,child
