tempo,gender,label
151.9990809,female,child
107.6660156,female,child
129.1992188,female,child
123.046875,female,child
112.3471467,female,child
112.3471467,female,child
129.1992188,female,child
132.5120192,female,child
156.6051136,female,child
117.4538352,female,child
109.9567819,female,child
92.28515625,female,child
135.9991776,female,child
123.046875,female,child
147.65625,female,child
161.4990234,female,child
114.84375,female,child
139.6748311,female,child
147.65625,female,child
135.9991776,female,child
129.1992188,female,child
112.3471467,female,child
135.9991776,female,child
103.359375,female,child
147.65625,female,child
101.3327206,female,child
139.6748311,female,child
172.265625,female,child
120.1853198,female,child
129.1992188,female,child
112.3471467,female,child
147.65625,female,child
135.9991776,female,child
114.84375,female,child
147.65625,female,child
97.50884434,female,child
151.9990809,female,child
147.65625,female,child
132.5120192,female,child
147.65625,female,child
123.046875,female,child
139.6748311,female,child
151.9990809,female,child
166.7086694,female,child
114.84375,female,child
123.046875,female,child
103.359375,female,child
129.1992188,female,child
166.7086694,female,child
114.84375,female,child
129.1992188,female,child
166.7086694,female,child
147.65625,female,child
129.1992188,female,child
123.046875,female,child
123.046875,female,child
123.046875,female,child
112.3471467,female,child
135.9991776,female,child
114.84375,female,child
117.4538352,female,child
123.046875,female,child
147.65625,female,child
129.1992188,female,child
103.359375,female,child
120.1853198,female,child
114.84375,female,child
161.4990234,female,child
101.3327206,female,child
151.9990809,female,child
97.50884434,female,child
139.6748311,female,child
105.46875,female,child
135.9991776,female,child
126.0480183,female,child
123.046875,female,child
105.46875,female,child
120.1853198,female,child
135.9991776,female,child
139.6748311,female,child
147.65625,female,child
178.205819,female,child
126.0480183,female,child
120.1853198,female,child
107.6660156,female,child
123.046875,female,child
143.5546875,female,child
143.5546875,female,child
156.6051136,female,child
112.3471467,female,child
95.703125,female,child
139.6748311,female,child
147.65625,female,child
135.9991776,female,child
139.6748311,female,child
156.6051136,female,child
114.84375,female,child
135.9991776,female,child
99.38401442,female,child
129.1992188,female,child
109.9567819,female,child
117.4538352,female,child
105.46875,female,child
132.5120192,female,child
135.9991776,female,child
126.0480183,female,child
120.1853198,female,child
112.3471467,female,child
105.46875,female,child
126.0480183,female,child
166.7086694,female,child
117.4538352,female,child
143.5546875,female,child
151.9990809,female,child
129.1992188,female,child
87.59269068,female,child
97.50884434,female,child
105.46875,female,child
117.4538352,female,child
147.65625,female,child
135.9991776,female,child
151.9990809,female,child
126.0480183,female,child
